tweet_text,compound_pos_ratio,compound_neu_ratio,compound_neg_ratio,compound_mean,max_compound_score,min_compound_score,median_compound_score,var,avg_pos_score,avg_neu_score,avg_neg_score,reaction_tweet_amount,tweet_type
"""...they acting good now because y'all are here. But what you think's gonna happen when y'all leave? Tell *that* story."" #Ferguson",0.444,0.302,0.254,0.29557619047619044,0.7989,-0.7543,0.296,0.06184240594104309,0.096,0.836,0.068,63,non-rumours
#Ferguson chief says officer Darren Wilson devastated. Mike Brown unavailable for comment about his feelings because dead.,0.000,0.167,0.833,0.49174166666666674,0.0,-0.7964,0.57735,0.05627845743055557,0.017,0.739,0.244,12,non-rumours
"White male goes on shooting spree: ""troubled nice guy needed help""
Black male, unarmed, gunned down:
""felon, thug, asking for it""
#Ferguson",0.130,0.217,0.652,0.3742695652173913,0.5096,-0.8402,0.4588,0.07843461342155009,0.066,0.772,0.161,23,non-rumours
"And let's be honest: if an unarmed white male was gunned down by police, the NRA and Tea Party would be marching on Washington. #Ferguson",0.257,0.314,0.429,0.37872000000000006,0.9582,-0.8555,0.4019,0.09608896217142861,0.124,0.706,0.170,35,non-rumours
This person live-tweeted the killing of Michael Brown in #Ferguson: http://t.co/FMIiEF6ObP,0.056,0.333,0.611,0.3725333333333334,0.7645,-0.7717,0.40835,0.08662400888888887,0.041,0.703,0.256,18,non-rumours
"Pic of masked, sign-carrying member of #Anonymous in DC on Aug 14th  #Ferguson http://t.co/5HNUnZMIuk",0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,1,non-rumours
I grew up 10 minutes from #Ferguson - Praying for Peace and Justice. http://t.co/ixaUvCUBB2,0.812,0.125,0.062,0.5929562499999999,0.9422,-0.3182,0.6369,0.08627689121093751,0.396,0.574,0.030,16,non-rumours
This is incredible. A witness to the Michael Brown shooting live tweeted the entire event. #Ferguson https://t.co/ERK7dqguVI,0.333,0.444,0.222,0.21784444444444445,0.5859,-0.7184,0.15295,0.0626428024691358,0.133,0.740,0.127,18,non-rumours
Going to a protest? Know your rights. http://t.co/e9HgbMTq0Y #ferguson #JusticeForMikeBrown http://t.co/czokepXsiQ,0.209,0.341,0.451,0.3368142857142856,0.8225,-0.9337,0.3182,0.09039293309262166,0.087,0.781,0.131,91,non-rumours
"Ok, America,this is when we are tested.Can you sustain yr interest in the killing of an unarmed black teen if he wasn't an angel? #Ferguson",0.400,0.250,0.350,0.35317500000000007,0.886,-0.9337,0.3291,0.08989143487500002,0.201,0.691,0.108,20,non-rumours
"Despite the latest blunder of the #Ferguson police department, I am hopeful for another night of #PeaceInFerguson.",0.356,0.356,0.289,0.29593333333333327,0.8074,-0.9022,0.296,0.08540794666666666,0.104,0.784,0.112,45,non-rumours
Black children do not have to be perfect for their lives to have value. #MikeBrown is not on trial. He is a homicide victim.  #Ferguson,0.317,0.171,0.512,0.4313268292682925,0.6908,-0.886,0.4939,0.08011621123140987,0.125,0.678,0.197,41,non-rumours
Police in #Ferguson haven't been wearing identification: http://t.co/rT1D3OczHL http://t.co/btya7YAXkA,0.176,0.176,0.647,0.2963411764705882,0.6486,-0.6486,0.3182,0.04136089065743944,0.047,0.812,0.142,17,non-rumours
What the media won't show #Ferguson #MikeBrown @zellieimani @SpookPacShakur @AntonioFrench @elonjames @WesleyLowery http://t.co/ohtjw2Kiav,0.125,0.625,0.250,0.2178,0.8442,-0.4767,0.0,0.0922605075,0.079,0.853,0.068,8,non-rumours
PHOTOS: Americans across the country hold vigil for Michael Brown http://t.co/ARiaNz0b30 #NMOS14 #Ferguson http://t.co/l3mhbzJ139,0.300,0.500,0.200,0.26534,0.9008,-0.5574,0.12605,0.09617108239999998,0.136,0.805,0.059,10,non-rumours
Iran’s Supreme Leader has taken to Twitter to criticize the US over #Ferguson. http://t.co/pR9lQqYmCx http://t.co/sytU9jubFw,0.368,0.263,0.368,0.4524578947368421,0.8957,-0.8782,0.5473,0.10349591191135735,0.185,0.677,0.138,19,non-rumours
The U.S. Record on Racial Discrimination is on the Whole World's Agenda #ferguson #JusticeForMikeBrown https://t.co/AiXOo8Io6c,0.143,0.571,0.286,0.2446,0.3806,-0.6908,0.0,0.08769735999999999,0.028,0.847,0.125,7,non-rumours
Reproductive justice must include the right not to live in constant fear that a cop will kill your child. http://t.co/xdPF4bNNSX #Ferguson,0.100,0.400,0.500,0.35705,0.2732,-0.8271,0.31720000000000004,0.11229445649999999,0.049,0.804,0.148,10,non-rumours
We will be free when we learn to stand together and fight. #allthatandabagofchips (based on a photo from #ferguson) http://t.co/Zo6YiAxF5H,0.714,0.286,0.000,0.3746357142857143,0.8868,0.0,0.4541,0.0883717280102041,0.282,0.709,0.008,14,non-rumours
Technology can be used to expand democracy or enforce tyranny. Where we draw the line matters. #Ferguson http://t.co/d0DUaTczyW,0.294,0.235,0.471,0.2834,0.7717,-0.5719,0.296,0.05383362117647059,0.101,0.787,0.112,17,non-rumours
7 things to know about the new guy running things in #Ferguson: #RonJohnson http://t.co/Wt7aieJev6 http://t.co/Eqm5mbPBfl,0.667,0.222,0.111,0.38112222222222225,0.7351,-0.1779,0.4019,0.06896767506172839,0.202,0.752,0.046,9,non-rumours
I'll be on @cnn with @wolfblitzer in about 15 mins discussing #Ferguson #JusticeForMikeBrown and #PeaceInFerguson. Tune in.,0.500,0.222,0.278,0.3709833333333334,0.8481,-0.7096,0.39135,0.06934806472222223,0.295,0.644,0.061,18,non-rumours
"Somehow, whenever there’s a police brutality case, the victim is reaching for someone’s gun. It’s weird, right? #Ferguson",0.321,0.214,0.464,0.308575,0.6486,-0.8074,0.296,0.053524681875,0.120,0.754,0.127,28,non-rumours
Protesters in #Palestine and #Ferguson shot with the same teargas canisters. wow. #FreePalestine #JusticeForMikeBrown http://t.co/BFsk31CK1A,0.500,0.250,0.250,0.373375,0.8271,-0.4215,0.39135,0.072179164375,0.193,0.756,0.052,8,non-rumours
Marine Vet Speaks Out Against Police State  - http://t.co/cUQDNRJBBr #Ferguson http://t.co/kruYQynbaW,0.125,0.688,0.188,0.1061375,0.0772,-0.5549,0.0,0.039570739843749994,0.020,0.917,0.064,16,non-rumours
Police in #Ferguson haven't been wearing identification: http://t.co/ZAIikEqk09  http://t.co/LDgoSLUHL3 via @Slate / Fire the #Ferguson PD.,0.312,0.250,0.438,0.3194937500000001,0.4588,-0.7003,0.3506,0.0436664118359375,0.095,0.798,0.107,16,non-rumours
"""keep the faith"" Cpt. Johnson #Ferguson http://t.co/QqgBvfcYWO",0.786,0.143,0.071,0.43892857142857145,0.8126,-0.3612,0.4215,0.048072400612244895,0.345,0.614,0.041,14,non-rumours
"DARREN WILSON
MURDERED AN UNARMED TEEN
LEFT HIS BODY IN THE STREET FOR 4 HRS

Anything else is irrelevant.
#MikeBrown
#Ferguson
#CoverUp",0.083,0.500,0.417,0.272475,0.4247,-0.8519,0.11315,0.0989009652083333,0.028,0.857,0.115,12,non-rumours
Whoa #ferguson http://t.co/JSNZrnFMp5,0.400,0.200,0.400,0.4272,0.6369,-0.7717,0.5994,0.09286553200000001,0.164,0.748,0.088,5,non-rumours
"Statement from St. Louis County Police Officers Assoc., saying @GovJayNixon put officers lives in danger. #Ferguson http://t.co/plnDpI5uRE",0.237,0.288,0.475,0.32356440677966103,0.7739,-0.9127,0.34,0.07454487178397012,0.086,0.777,0.137,59,non-rumours
Why we need brave journalists: http://t.co/Oy2lnFafve #Ferguson,0.467,0.333,0.200,0.37432000000000004,0.8834,-0.7269,0.3818,0.10551490826666667,0.162,0.792,0.045,15,non-rumours
I'll be on @msnbc with @TheRevAl in about 10 mins discussing #Ferguson #JusticeForMikeBrown and #PeaceInFerguson. Tune in.,0.280,0.400,0.320,0.288588,0.875,-0.765,0.296,0.079944923456,0.102,0.809,0.089,25,non-rumours
I asked Ron Johnson why #Ferguson cops aren't wearing name tags: http://t.co/ghiG5XM8Rd,0.556,0.333,0.111,0.32591111111111115,0.7845,-0.4767,0.38905,0.07696032765432098,0.199,0.767,0.033,18,non-rumours
These are the comments by @bobatl. Loud and wrong.  #MikeBrown #Ferguson http://t.co/qibvrD9JaV,0.439,0.195,0.366,0.43799268292682925,0.9042,-0.9493,0.4767,0.09144291092207021,0.142,0.710,0.148,41,non-rumours
We just filed a new suit to obtain public records from the #Ferguson police dept #MikeBrown http://t.co/gknRV1b5QT http://t.co/8cHNdTiTdj,0.308,0.436,0.256,0.2809589743589744,0.6249,-0.91,0.1779,0.08678330959894807,0.150,0.763,0.087,39,non-rumours
"What do #ISIS, #Ferguson, #Benghazi and #Mali have in common? All were triggered by the over-supply of US arms. https://t.co/XcSuWT5dO8",0.118,0.529,0.353,0.18013529411764706,0.2732,-0.5859,0.0258,0.046736961107266425,0.049,0.820,0.130,17,non-rumours
More peaceful protesting today in #Ferguson.  #MichaelBrown http://t.co/FVMjydnqFM,0.357,0.214,0.429,0.43141428571428575,0.6908,-0.9322,0.5037,0.10020501836734695,0.102,0.643,0.256,14,non-rumours
"#REMINDER: MikeBrown's tragic death isn't a #Ferguson problem or a #Missouri problem, it's an American problem.

#p2 http://t.co/obpPtJQDGL",0.222,0.111,0.667,0.4266944444444445,0.8884,-0.9325,0.3961,0.07545027608024692,0.100,0.711,0.189,18,non-rumours
Tell Congress to demilitarize local police departments! &gt; &gt; &gt; http://t.co/HhTrkPtXwx #Ferguson http://t.co/Mh3jjXO1sG,0.111,0.444,0.444,0.25387777777777776,0.3612,-0.7269,0.3182,0.06319793950617283,0.059,0.830,0.111,9,non-rumours
WELP! RT @TUSK81: #Ferguson chief says officer Darren Wilson devastated. Mike Brown unavailable for comment about his feelings because dead.,0.333,0.000,0.667,0.5355666666666666,0.296,-0.8519,0.4588,0.05445069555555556,0.106,0.721,0.173,3,non-rumours
Mike Brown does not have to be perfect for his life to have value. #MikeBrown is not on trial. He is a homicide victim.  #Ferguson,0.750,0.000,0.250,0.4042,0.6124,-0.7184,0.36985,0.04025384750000001,0.196,0.722,0.083,8,non-rumours
"This guy shot 11 people, including a Congresswoman and a judge. He was apprehended alive. #Ferguson #MikeBrown http://t.co/748RLbZ0Fr",0.322,0.373,0.305,0.2899186440677966,0.7351,-0.9517,0.296,0.07694375812697503,0.128,0.766,0.106,59,non-rumours
#Ferguson Police’s PR Stunt Poisons Independent and Impartial Investigation https://t.co/5pNJE6s0nE,0.458,0.333,0.208,0.3251625000000001,0.765,-0.8689,0.296,0.08163191484375,0.091,0.838,0.071,24,non-rumours
"At the end of the day, shooting an unarmed man who is surrendering is a crime &amp; the person who we know did it isn't in custody. #ferguson",0.298,0.319,0.383,0.2545829787234043,0.7003,-0.6808,0.2023,0.05986614864644638,0.090,0.803,0.107,47,non-rumours
real. #Ferguson #mikebrown RT @CleoTrappa_: This. Struck. A. Chord. http://t.co/PhgVOv2JNG,0.200,0.300,0.500,0.26477,0.4754,-0.6597,0.25,0.0537987821,0.081,0.751,0.168,10,non-rumours
"#Ferguson headlines like ""Is this how a dystopia starts?"" ... (Read: ""Could police militarization start affecting white people soon?"")",0.385,0.231,0.385,0.3848692307692308,0.5904,-0.802,0.4019,0.08413186213017751,0.216,0.650,0.134,13,non-rumours
Yessss! RT @PresReed: Mother/Daughter team in #Ferguson. Daughter just took bar. Will b civil rights Atty http://t.co/jJBa3qTHmg,0.333,0.333,0.333,0.27304999999999996,0.8689,-0.2263,0.1645,0.09389342249999999,0.165,0.787,0.047,6,non-rumours
Serve and protect?... #Ferguson #Justice #UniteBlue http://t.co/XSLJ9hRhs2,0.500,0.200,0.300,0.4585,0.7739,-0.4588,0.4527,0.08313795000000002,0.245,0.667,0.088,10,non-rumours
"Murder math, #Ferguson edition.

Via @KattPackAllDay... I think. http://t.co/XrF2Vm8GRV",0.444,0.278,0.278,0.30585,0.5473,-0.6908,0.3612,0.048393593611111105,0.213,0.670,0.118,18,non-rumours
"#Ferguson: Statement from lawyers for Michael Brown's parents 
http://t.co/JIMN4Gx7Fw http://t.co/uRGdD6MlSg",0.278,0.278,0.444,0.3645666666666666,0.6124,-0.936,0.45855,0.08214367999999998,0.119,0.754,0.127,18,non-rumours
Laying on of hands for Capt. Ron Johnson before #Ferguson begins another night of protests. http://t.co/AMViKykZ5l,0.556,0.200,0.244,0.4148222222222222,0.8779,-0.7783,0.4404,0.07642109461728398,0.276,0.651,0.072,45,non-rumours
"Never forget:
Tear Gas.
Rubber Bullets.
APCs.
Militarized Cops.
No Name Tags.
No Fly Zone.
Al Jazeera.
Never Forget Mike Brown.
#ferguson",0.462,0.231,0.308,0.42945384615384613,0.7845,-0.872,0.4215,0.09842582248520712,0.153,0.714,0.134,13,non-rumours
"""#FERGUSON Dispatch #3: #MikeBrown Was Murdered and We Want Justice"" http://t.co/E8HEAgXOio #TWIBnation http://t.co/r2QfO4Ldis",0.667,0.000,0.333,0.2398,0.34,-0.2263,0.2263,0.00591306,0.223,0.651,0.126,3,non-rumours
Rev Jesse Jackson leading procession to shooting site. #Ferguson #MichaelBrown @stltoday http://t.co/ElWD9jGEFA,0.240,0.440,0.320,0.21957200000000007,0.8271,-0.6705,0.1111,0.06035739881599999,0.141,0.746,0.113,25,non-rumours
A mother lost her child. A father lost his son. A young man lost his life. #JusticeForMikeBrown #Ferguson http://t.co/dRRPNhBPiw,0.227,0.250,0.523,0.37353409090909084,0.8316,-0.913,0.296,0.10194958906508261,0.108,0.710,0.182,44,non-rumours
Jesse Jackson leading a small group in prayer at the scene of #MichaelBrown's death. #Ferguson http://t.co/qbtrJdIVPR,0.257,0.314,0.429,0.31924571428571424,0.8481,-0.836,0.34,0.08185836076734697,0.088,0.782,0.130,35,non-rumours
There is a dangerous socioecon war occurring in the US. We MUST use our collective voice &amp; VOTE. #UniteBlue #Ferguson http://t.co/6P3Le9sHBL,0.417,0.167,0.417,0.452725,0.7096,-0.7906,0.5994,0.07732383354166665,0.144,0.708,0.148,12,non-rumours
"Wake up. Whenever a black man is killed by police, they try to make him a Saint/Martyr. 99% of the time he's a POS #Thug.
#Ferguson",0.246,0.230,0.525,0.36376229508196717,0.8248,-0.891,0.4019,0.0780548275947326,0.078,0.774,0.148,61,non-rumours
"If you ever doubt the power of your voice, just look at what they try to do to silence you. #PoliceState #Ferguson http://t.co/hkH1pc61jG",0.517,0.224,0.259,0.36735862068965514,0.9403,-0.8807,0.3612,0.08261252277051133,0.173,0.744,0.083,58,non-rumours
"Michael Brown is the 17 yr old boy who was shot 10x &amp; killed by police in #Ferguson today. Media reports ""police shoot man"". #blackboysonly",0.190,0.286,0.524,0.3807666666666667,0.5719,-0.9477,0.4435,0.08254883603174605,0.064,0.789,0.147,42,rumours
"17 year old unarmed kid shot ten times by police for stealing candy. I didn't know that was punishable by death.

(read the #ferguson tag)",0.200,0.300,0.500,0.37988500000000003,0.4588,-0.8939,0.44015,0.11030466227500002,0.100,0.716,0.183,20,rumours
200 cops in riot gear in #ferguson because there is a prayer circle and a concerned compassionate community,0.100,0.300,0.600,0.23610000000000003,0.3182,-0.7269,0.17635,0.055113786,0.055,0.635,0.310,10,rumours
"Mike Brown was staying with his grandmother for the summer, who lived in the community. #Ferguson",0.400,0.200,0.400,0.5083,0.5859,-0.8918,0.5859,0.10928564,0.256,0.558,0.186,5,rumours
Every 28 hours a black male is killed in the United States by police or vigilantes. #Ferguson,0.152,0.333,0.515,0.3013181818181818,0.875,-0.7906,0.4019,0.0686054705785124,0.091,0.763,0.146,33,rumours
Unarmed teenage black boy #MikeBrown was shot ten times by a #Ferguson police officer for accusation of shoplifting http://t.co/rjKd6f2fM9,0.263,0.263,0.474,0.31472631578947374,0.4404,-0.8934,0.3034,0.06584873667590027,0.071,0.774,0.155,19,rumours
Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer. http://t.co/B4hWevO7l9,0.321,0.321,0.357,0.38471071428571424,0.7096,-0.9209,0.3612,0.10849938024234693,0.132,0.730,0.138,28,rumours
Michael Brown DID NOT STEAL ANYTHING!!!!! It has just been reported that he didn't steal anything #FergusonShooting #Ferguson,0.188,0.354,0.458,0.33985,0.7635,-0.9349,0.34,0.09209197125000002,0.114,0.734,0.152,48,rumours
Another account of what happened to #MikeBrown #JusticeForMikeBrown http://t.co/sOD2olFYwp #STL #FERGUSON,0.176,0.294,0.529,0.3135176470588235,0.3612,-0.8271,0.3612,0.06228150733564014,0.069,0.660,0.271,17,rumours
Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. #Ferguson http://t.co/XG00R6w0k6,0.286,0.190,0.524,0.4585047619047619,0.872,-0.7885,0.5437,0.08113713759637188,0.106,0.738,0.157,21,rumours
There was only one TV reporter at #Ferguson protests last night. Most left earlier fearing violence. Yet only violence was cop's bullets!,0.188,0.312,0.500,0.33743125000000007,0.3612,-0.93,0.3071,0.0955109958984375,0.037,0.835,0.127,16,rumours
".@NBCNews I demand that you retract the lie that #Ferguson people were shouting ""Kill the police"". Reporters at scene have refuted that.",0.222,0.111,0.667,0.5170777777777776,0.7506,-0.9325,0.5773,0.07990782617283952,0.099,0.649,0.252,27,rumours
".@AP I demand you retract the lie that people in #Ferguson were shouting ""kill the police"", local reporting has refuted your ugly racism",0.368,0.474,0.158,0.24299473684210526,0.7184,-0.9274,0.1027,0.08449269944598337,0.150,0.786,0.065,19,rumours
I'd be more inclined to take the #Ferguson PD account seriously if they hadn't been so careful to confiscate all video evidence beforehand.,0.200,0.400,0.400,0.34065,0.7269,-0.7003,0.40605,0.0888157225,0.073,0.851,0.076,10,rumours
"So last week NYPD tried to tell us that #EricGarner wasn't in a chokehold, now #Ferguson police telling us #MikeBrown assaulted the officer",0.333,0.000,0.667,0.5195666666666666,0.6105,-0.5267,0.5267,0.005978942222222225,0.077,0.754,0.169,3,rumours
So #Ferguson Police can afford machine guns but they can't afford dash cameras for their squad cars? #interesting #MikeBrown,0.211,0.474,0.316,0.2729631578947368,0.6858,-0.7845,0.0516,0.08836754232686982,0.072,0.861,0.067,19,rumours
Line of police cars with high beams on greets anyone trying to enter #Ferguson. It's shut down. No media allowed. http://t.co/bk6jFFM7jj,0.143,0.643,0.214,0.1666857142857143,0.6705,-0.6908,0.0,0.0653865812244898,0.073,0.827,0.100,14,rumours
"Before his death #MikeBrown told his mother, ""The world will know who #MichaelBrown is!"" #Ferguson",0.312,0.375,0.312,0.27980000000000005,0.7184,-0.5994,0.31579999999999997,0.06341831125000001,0.200,0.700,0.100,16,rumours
"Currently the #FoxNews website has zero, repeat, ZERO coverage of the #Ferguson protests, probably due to lack of cowboy hats.",0.348,0.304,0.348,0.3460021739130435,0.928,-0.8918,0.3818,0.07791220064744799,0.145,0.735,0.120,46,rumours
The ferguson chief says that his feelings are hurt that ppl consider him a part of the problem. #ferguson http://t.co/VoJGrMOPbZ,0.361,0.197,0.443,0.3737344262295082,0.705,-0.7906,0.4019,0.06277240750335931,0.123,0.758,0.118,61,rumours
#Ferguson is completely shut down. No journalists allowed.,0.273,0.455,0.273,0.16032272727272728,0.3612,-0.7783,0.0508,0.04482661721074381,0.068,0.803,0.130,22,rumours
"Police have thrown something at the crowd. Not sure what tho. Protester says ""they have enough bullets for everybody down here #Ferguson",0.333,0.000,0.667,0.36446666666666666,0.1027,-0.5574,0.4333,0.03682769555555556,0.038,0.629,0.333,3,rumours
"Call out to STL Co police: only can confirm a person shot on Chambers, and is down. No word on alive or dead, or why. #Ferguson",0.100,0.600,0.300,0.1563,0.3818,-0.5574,0.0,0.043075664,0.037,0.901,0.062,10,rumours
St. Louis Co Police tell me ofcr shot a man who pointed handgun at him at Chambers &amp; Sheffingdell at about 1 a.m. Man in critical. #ferguson,0.545,0.364,0.091,0.2701454545454546,0.6597,-0.3182,0.3182,0.05734329520661157,0.211,0.769,0.020,11,rumours
"It was a St. Louis County police officer who shot this man, according to PIO Brian Schellman. #ferguson",0.500,0.167,0.333,0.3572166666666667,0.6249,-0.7117,0.3066,0.059845818055555555,0.299,0.560,0.141,6,rumours
"What are #Ferguson Police hiding about ""drive by"" shooting of black woman recording last night's action? http://t.co/wfuDYm9q27 #OpFerguson",0.292,0.292,0.417,0.3712666666666667,0.87,-0.8625,0.43405,0.08201905138888888,0.086,0.801,0.112,24,rumours
"In case YouTube vid disappears, here's childhood friend on tonight's #Ferguson ""drive by"" #Bullshit #OpFerguson http://t.co/tkc6oIniUY",0.500,0.000,0.500,0.49905,0.4215,-0.5766,0.49905,0.0060140025000000015,0.182,0.610,0.207,2,rumours
"2nd police-involved shooting reported in #Ferguson, Mo., overnight http://t.co/VezLQ498BZ",0.308,0.231,0.462,0.3732692307692307,0.4588,-0.8827,0.3818,0.0798082928994083,0.115,0.689,0.196,13,rumours
Police in St. Louis County say an officer shot and critically wounded a suspect early this morning near #Ferguson http://t.co/htLmEiuCS5,0.111,0.444,0.444,0.16924444444444445,0.3612,-0.5106,0.1531,0.031707284691358036,0.081,0.804,0.115,9,rumours
"Another police shooting in protest-plagued #Ferguson: http://t.co/NcVUm7Fqdp (Scott Olson, Getty Images) http://t.co/YfIp2RUB4N",0.062,0.312,0.625,0.2714875,0.1027,-0.8755,0.22615000000000002,0.06887120234375,0.045,0.799,0.156,16,rumours
The woman injured last night... #Ferguson  http://t.co/MaOSd1iarV,0.429,0.393,0.179,0.3012678571428572,0.802,-0.6249,0.3071,0.07533626718112243,0.182,0.758,0.060,28,rumours
A woman in #Ferguson was shot in head last night and released this selfie. Conflicting reports of how it happened: http://t.co/25WX6EkquG,0.240,0.400,0.360,0.29060400000000003,0.6249,-0.8126,0.34,0.070644655584,0.136,0.734,0.130,25,rumours
"RT @bonedog84: Over 50 people have been arrested in #Ferguson.

None of them is the cop who shot that boy 10 times in cold blood.",0.000,0.000,1.000,0.4446875,-0.1027,-0.7845,0.4767,0.033621166093749995,0.033,0.757,0.210,8,rumours
Not just Mike Brown… Second police shooting in #Ferguson leaves man in critical condition http://t.co/uZpgcJK0bB,0.167,0.250,0.583,0.315575,0.5267,-0.7506,0.3182,0.049431556875,0.066,0.664,0.270,12,rumours
"Maybe hard hitting @foxnews should be covering what's going on in #Ferguson, Mo. instead of fat shaming the First Lady??",0.365,0.327,0.308,0.33893076923076926,0.9451,-0.9241,0.3506,0.09124741943786979,0.132,0.782,0.087,52,rumours
"Nearly 7k blacks were murdered last yr--almost all by other blacks. A tiny % were unarmed-killed-by-cop.
Where's Al, Jesse?
#tcot #ferguson",0.115,0.192,0.692,0.45820000000000005,0.5096,-0.9366,0.45975,0.09345293076923077,0.040,0.743,0.217,26,rumours
"Prayers out to mya, HU graduate who was shot while protesting in St. Louis! #MikeBrown #Ferguson http://t.co/J0OEIkJLHU",0.000,0.000,1.000,0.57675,-0.3818,-0.7717,0.57675,0.03800550250000001,0.000,0.777,0.222,2,rumours
Lets bomb nurseries w/ White Babies!? FBI: #NBP leader inciting violence in #Ferguson http://t.co/TCXSbfrTsV #tcot http://t.co/XDZqcWnoUQ,0.237,0.500,0.263,0.18397105263157895,0.5859,-0.8074,0.0322,0.05396423153047093,0.079,0.852,0.069,38,rumours
#ferguson has had ZERO homicides in the last year. 'Black on black crime is our real problem' folks where y'all at?,0.154,0.231,0.615,0.5156435897435897,0.7684,-0.9382,0.6597,0.10806855322813935,0.060,0.773,0.167,39,rumours
"despite clear footage of #ferguson citizens chanting ""killer cops have got to go"", media chooses to hear &amp; report ""kill the cops"" instead.",0.000,0.000,1.000,0.47445,-0.1363,-0.8126,0.47445,0.11434542249999999,0.134,0.612,0.255,2,rumours
"""The officers were literally putting hands on media personnel, throwing people..."" http://t.co/7QTY8soT46 #Ferguson",0.143,0.429,0.429,0.23521428571428574,0.6814,-0.516,0.1531,0.0649053212244898,0.066,0.828,0.106,7,rumours
Swat team in #Ferguson have state mandated 'murder insurance' to protect them from lawsuits if they kill anyone.,0.217,0.217,0.565,0.4293478260869566,0.6249,-0.9532,0.4215,0.1015633711909263,0.141,0.666,0.193,23,rumours
NEW DEVELOPMENT: Pentagon supplied St. Louis County police with military-grade weapons. #Ferguson,0.188,0.500,0.312,0.171275,0.3612,-0.6997,0.0258,0.04594706562499999,0.068,0.853,0.079,16,rumours
JUST IN: #Ferguson Police Chief Thomas Jackson tells @RobinRoberts they will release the name of the police officer  today,0.188,0.312,0.500,0.39735625,0.8402,-0.8176,0.44115000000000004,0.1000666212109375,0.149,0.696,0.155,16,rumours
#BreakingNews #ferguson chief says the name of the officer that shot #MichaelBrown will be released this morning http://t.co/roXlFQ6EYA,0.222,0.500,0.278,0.24182777777777778,0.4404,-0.9022,0.0258,0.08668842533950617,0.041,0.871,0.087,18,rumours
KKK already raising money for the police officer who shot and killed #MikeBrown - #Ferguson http://t.co/VWkZXjHF7V,0.353,0.118,0.529,0.4318588235294118,0.8442,-0.8074,0.3612,0.07539363536332179,0.130,0.677,0.193,17,rumours
#Ferguson officials to release name of cop who shot Michael Brown on Friday http://t.co/x0P9yUhzUU http://t.co/Gk2DxncNov,0.235,0.235,0.529,0.4386470588235294,0.7003,-0.9062,0.4548,0.1080319413148789,0.113,0.721,0.166,17,rumours
COUNTDOWN: One hour until #Ferguson police release the name of the officer that shot #MichaelBrown.,0.167,0.333,0.500,0.33211666666666667,0.4019,-0.743,0.32515,0.07879110805555556,0.097,0.790,0.113,6,rumours
At 8:00 police will release the name of the officer who shot Michael Brown. #Ferguson,0.333,0.667,0.000,0.17238333333333333,0.6369,0.0,0.0,0.06299330472222221,0.116,0.870,0.014,12,rumours
"Name of #Ferguson cop is expected to be released by 9 ET, police chief says: http://t.co/NhMsTgfzYi (J.B. Forbes, AP) http://t.co/7LU1iT1EKB",0.375,0.375,0.250,0.31046250000000003,0.6597,-0.6249,0.3612,0.06784776984374999,0.136,0.821,0.043,8,rumours
Developing: Police in #Ferguson expected to announce the name of the officer who killed unarmed teen Michael Brown within the hour.,0.200,0.400,0.400,0.37518,0.3612,-0.8442,0.3612,0.11778183360000001,0.143,0.758,0.099,5,rumours
"#Ferguson cops beat man, charged him w/""property damage"" for bleeding on their uniforms. Then they lied in court. http://t.co/B0DSHrIfA1",0.273,0.273,0.455,0.3558954545454546,0.5806,-0.8225,0.4111,0.07155487497933885,0.089,0.766,0.145,22,rumours
#Ferguson PD expected to release the name of officer who killed Mike Brown shortly. Watch here http://t.co/7XiK3mhlzZ,0.167,0.389,0.444,0.30660000000000004,0.4404,-0.8658,0.26425,0.09438093444444445,0.059,0.803,0.139,18,rumours
Police in #Ferguson plan to release name of officer who shot unarmed teen Michael Brown: http://t.co/oqns3yVfTx http://t.co/9fb09WUtdN,0.214,0.571,0.214,0.18417857142857144,0.5719,-0.5709,0.0,0.05267615596938776,0.100,0.823,0.077,14,rumours
The name of the officer who fatally shot teenager #MichaelBrown will be released shortly. Watch CNN: http://t.co/0QL42wwP0v #Ferguson,0.258,0.355,0.387,0.3569419354838709,0.8271,-0.9153,0.4019,0.08963296372528617,0.132,0.726,0.142,31,rumours
BREAKING NEWS: NAME OF OFFICER WHO SHOT #MIKEBROWN - OFFICER DAREN WILSON - #Ferguson,0.143,0.524,0.333,0.13537619047619048,0.4767,-0.5563,0.0,0.030833272290249437,0.061,0.881,0.058,21,rumours
BREAKING: Darren Wilson named as officer who fatally shot #MichaelBrown in #Ferguson,0.417,0.167,0.417,0.47138333333333327,0.5574,-0.8779,0.5206,0.059885831388888894,0.190,0.703,0.107,12,rumours
"#Breaking: The officer involved in the shooting of Michael Brown is named Darren Wilson, #Ferguson police chief says.",0.000,1.000,0.000,0.0,0.0,0.0,0.0,0.0,0.000,1.000,0.000,4,rumours
"BREAKING: #Ferguson police chief just announced that officer Darren Wilson shot the unarmed teen, Michael Brown.",0.143,0.571,0.286,0.25255714285714287,0.9144,-0.8481,0.0258,0.11408299530612247,0.072,0.784,0.144,14,rumours
